name,address,city,state,phone,rating,reviews,category,google_maps_url
Goodyear Nails & Spa,"14130 W Indian School Rd A3, Goodyear, AZ 85395",Goodyear,Arizona,(623) 536-0956,4.3,224,Nail salon,https://www.google.com/maps/search/?api=1&query=Goodyear%20Nails%20%26%20Spa&query_place_id=ChIJkzmcFH1HK4cRkOK6WbuMAzE
Diva Nail Spa & Wax Center,"1982 Tully Rd, San Jose, CA 95122",San Jose,California,(408) 238-2535,4.5,219,Nail salon,https://www.google.com/maps/search/?api=1&query=Diva%20Nail%20Spa%20%26%20Wax%20Center&query_place_id=ChIJwVFVSaMyjoARhTSUuVWfw9Y
Champere Nail Bar,"12005 N Tatum Blvd #101, Phoenix, AZ 85028",Phoenix,Arizona,(602) 237-6763,4.7,197,Nail salon,https://www.google.com/maps/search/?api=1&query=Champere%20Nail%20Bar&query_place_id=ChIJobog-XFzK4cRpkG8HSCOWhk
Kiwi Nail Lounge,"4612 2nd St, Long Beach, CA 90803",Long Beach,California,(562) 856-5494,4.2,197,Nail salon,https://www.google.com/maps/search/?api=1&query=Kiwi%20Nail%20Lounge&query_place_id=ChIJd8eytUsw3YAR90UG31ia7zk
Diva Nails & Spa,"11000 Brimhall Rd, Bakersfield, CA 93312",Bakersfield,California,(661) 588-8794,4.7,194,Nail salon,https://www.google.com/maps/search/?api=1&query=Diva%20Nails%20%26%20Spa&query_place_id=ChIJs4O_jpFD6oARKuLzE2kYDu8
Eric Nails & Spa,"6330 Florin Rd, Sacramento, CA 95823",Sacramento,California,(916) 399-5818,4.3,187,Nail salon,https://www.google.com/maps/search/?api=1&query=Eric%20Nails%20%26%20Spa&query_place_id=ChIJYXM0FnHFmoARz7kOZj9yJJg
HaNa Nail 하나네일,"4157 5th St #228, Los Angeles, CA 90020",Los Angeles,California,(213) 905-9015,4.6,183,Nail salon,https://www.google.com/maps/search/?api=1&query=HaNa%20Nail%20%ED%95%98%EB%82%98%EB%84%A4%EC%9D%BC&query_place_id=ChIJ5daRYla5woARLqCOv9BzaDg
A Star Nails and spa,"2375 S 4th Ave, Yuma, AZ 85364",Yuma,Arizona,(928) 783-9192,4.3,182,Nail salon,https://www.google.com/maps/search/?api=1&query=A%20Star%20Nails%20and%20spa&query_place_id=ChIJafvAGqpY1oARiZNOEnxvhu4
Colorist Nails & Spa,"9069 W Olive Ave #109, Peoria, AZ 85345",Peoria,Arizona,(623) 600-8781,4.5,181,Nail salon,https://www.google.com/maps/search/?api=1&query=Colorist%20Nails%20%26%20Spa&query_place_id=ChIJ02AogeRBK4cRIouzBS1BVss
ProfessioNAIL,"417 W Washington St, San Diego, CA 92103",San Diego,California,(619) 298-9888,4.5,179,Nail salon,https://www.google.com/maps/search/?api=1&query=ProfessioNAIL&query_place_id=ChIJEeXMVNFU2YARPQjKy6Lj6Rc
Bliss Nail and Spa,"5625 Calloway Dr #100, Bakersfield, CA 93312",Bakersfield,California,(661) 679-7424,4.2,173,Nail salon,https://www.google.com/maps/search/?api=1&query=Bliss%20Nail%20and%20Spa&query_place_id=ChIJybis0D5D6oARGxHSqVExIbE
#1 Nails and Spa,"1420 E Rte 66 #104, Flagstaff, AZ 86001",Flagstaff,Arizona,(928) 773-0239,3.3,167,Nail salon,https://www.google.com/maps/search/?api=1&query=%231%20Nails%20and%20Spa&query_place_id=ChIJr4NayxePLYcR_Ps20L1BbWc
Daisy Nails Salon Spa,"388 Guerrero St, San Francisco, CA 94103",San Francisco,California,(415) 252-7276,4.5,167,Nail salon,https://www.google.com/maps/search/?api=1&query=Daisy%20Nails%20Salon%20Spa&query_place_id=ChIJMeL9pRh-j4ARPNCppT09VEw
Sandy's Nails,"3065 24th St, San Francisco, CA 94110",San Francisco,California,(415) 643-5220,3.6,167,Nail salon,https://www.google.com/maps/search/?api=1&query=Sandy's%20Nails&query_place_id=ChIJiRwHLUZ-j4ARUPPEPqgWY7o
J B Nails,"4143 Long Beach Blvd, Long Beach, CA 90807",Long Beach,California,(562) 981-8856,4.4,165,Nail salon,https://www.google.com/maps/search/?api=1&query=J%20B%20Nails&query_place_id=ChIJkZHCw50z3YARYukGs9_b-uM
Red Polish Nail Salons,"3324 W 6th St F, Los Angeles, CA 90020",Los Angeles,California,(213) 387-1777,4.4,163,Nail salon,https://www.google.com/maps/search/?api=1&query=Red%20Polish%20Nail%20Salons&query_place_id=ChIJ598ojXzHwoARYkNC9O8W37g
Nails By Christine at Le Bronze salon,"2007 W Temple St, Los Angeles, CA 90026",Los Angeles,California,(213) 265-8249,4.4,162,Nail salon,https://www.google.com/maps/search/?api=1&query=Nails%20By%20Christine%20at%20Le%20Bronze%20salon&query_place_id=ChIJRbTytHy4woAR_6DxOdNX__o
Omni Nail Spa,"1111 Meridian Ave #4, San Jose, CA 95125",San Jose,California,(408) 440-4078,4.3,162,Nail salon,https://www.google.com/maps/search/?api=1&query=Omni%20Nail%20Spa&query_place_id=ChIJtYIUD7A0joARWH-dFuE_IpI
K Nail & Spa,"20403 N Lake Pleasant Rd #115, Peoria, AZ 85382",Peoria,Arizona,(623) 566-8991,4.5,160,Nail salon,https://www.google.com/maps/search/?api=1&query=K%20Nail%20%26%20Spa&query_place_id=ChIJHfqLzS5dK4cRZzEUPeXYROo
Interfashion Nails,"1533 White Ln, Bakersfield, CA 93307",Bakersfield,California,(661) 832-6487,4.4,152,Nail salon,https://www.google.com/maps/search/?api=1&query=Interfashion%20Nails&query_place_id=ChIJ59DFa-xq6oAR3D-eGuUE3J0
NAILS BB,"1720 Clark Ave, Long Beach, CA 90815",Long Beach,California,(562) 588-9353,4.5,147,Nail salon,https://www.google.com/maps/search/?api=1&query=NAILS%20BB&query_place_id=ChIJ-zWJ7eox3YARbehuquEjya4
Best Nails & Spa,"6338 E Spring St, Long Beach, CA 90815",Long Beach,California,(562) 420-3600,4.6,145,Nail salon,https://www.google.com/maps/search/?api=1&query=Best%20Nails%20%26%20Spa&query_place_id=ChIJIzoaEwEu3YAR5jS-M8CqtJI
PG Nails & Spa,"2574 W 16th St, Yuma, AZ 85364",Yuma,Arizona,(928) 782-7429,4,144,Nail salon,https://www.google.com/maps/search/?api=1&query=PG%20Nails%20%26%20Spa&query_place_id=ChIJG5ys5Dj21oARQPjKN5UYOYQ
The Nail Shop,"3326 Grand Ave, Oakland, CA 94610",Oakland,California,(510) 832-6245,4.2,140,Nail salon,https://www.google.com/maps/search/?api=1&query=The%20Nail%20Shop&query_place_id=ChIJhVE_p0OHj4ARYd-WQ53CLtA
Shade Nail Spa,"1501 Waller Street, San Francisco, CA 94117",,,(415) 818-3809,4.4,137,Nail salon,"https://www.google.com/maps/place/Shade Nail Spa/@37.7687,-122.448559,14z/data=!3m1!4b1!4m9!3m8!5m2!4m1!1i2!8m2!3d37.7687!4d-122.448559!16snull!17Bnull"
Monaco Nails,"14175 W Indian School Rd # B5, Goodyear, AZ 85395",Goodyear,Arizona,(623) 935-1466,4.1,134,Nail salon,https://www.google.com/maps/search/?api=1&query=Monaco%20Nails&query_place_id=ChIJpR005WVHK4cR1tjhnXTwUgM
Van's Nail Salon,"430 Chester Ave, Bakersfield, CA 93301",Bakersfield,California,(661) 861-8309,4.6,134,Nail salon,https://www.google.com/maps/search/?api=1&query=Van's%20Nail%20Salon&query_place_id=ChIJc5WXwTxq6oAR6H7mgBHyDQc
It’s M3 Time Nail Salon,"3278 21st St #A, San Francisco, CA 94110",San Francisco,California,(415) 824-1887,4.6,132,Nail salon,https://www.google.com/maps/search/?api=1&query=It%E2%80%99s%20M3%20Time%20Nail%20Salon&query_place_id=ChIJT8pNgrd_j4ARum-PKq9iVoM
Quality Nails & Spa,"3737 E Anaheim St, Long Beach, CA 90804",Long Beach,California,(562) 985-3035,4.9,132,Nail salon,https://www.google.com/maps/search/?api=1&query=Quality%20Nails%20%26%20Spa&query_place_id=ChIJQfD5Fg8x3YARcMRkdGzX6yg
Expo Nails & Spa,"1140 Exposition Blvd # 400, Sacramento, CA 95815",Sacramento,California,(916) 646-6888,4.5,130,Nail salon,https://www.google.com/maps/search/?api=1&query=Expo%20Nails%20%26%20Spa&query_place_id=ChIJpT9FqQbamoAR79mbKMovM74
Mimi's Nails & Spa,"2070 Pacific Coast Hwy, Long Beach, CA 90804",Long Beach,California,(562) 343-5360,4.6,129,Nail salon,https://www.google.com/maps/search/?api=1&query=Mimi's%20Nails%20%26%20Spa&query_place_id=ChIJxezOdXox3YARwRTk6441Wjw
SunShine Nails & Spa,"1221 W 16th St suite # c, Yuma, AZ 85364",Yuma,Arizona,(928) 782-8076,3.7,124,Nail salon,https://www.google.com/maps/search/?api=1&query=SunShine%20Nails%20%26%20Spa&query_place_id=ChIJlZtGcBH21oARZn7sut8RWjI
Nails Studio,"342 E 4th St, Long Beach, CA 90802",Long Beach,California,(562) 983-6800,4.3,122,Nail salon,https://www.google.com/maps/search/?api=1&query=Nails%20Studio&query_place_id=ChIJeXIDKD8x3YARGFpWobFeIhs
Beauti Nails,"13043 Stockdale Hwy #500, Bakersfield, CA 93314",Bakersfield,California,(661) 679-7944,4.6,117,Nail salon,https://www.google.com/maps/search/?api=1&query=Beauti%20Nails&query_place_id=ChIJ-RsE4wtE6oARSkTkGPDDHSQ
Tami’s Nails & Spa,"3230 E Broadway, Long Beach, CA 90803",Long Beach,California,(562) 438-1704,4.7,114,Nail salon,https://www.google.com/maps/search/?api=1&query=Tami%E2%80%99s%20Nails%20%26%20Spa&query_place_id=ChIJUWiD0PUx3YARkeiKoqRb8bs
Nails & Spa Plus,"11855 S Fortuna Rd, Yuma, AZ 85367",Yuma,Arizona,(928) 342-1523,4.7,109,Nail salon,https://www.google.com/maps/search/?api=1&query=Nails%20%26%20Spa%20Plus&query_place_id=ChIJHXcb-EJh1oAR5E1vsJCina8
Lavender Nail & Spa,"1647 Industrial Pkwy W, Hayward, CA 94544",Hayward,California,(510) 265-1567,4,107,Nail salon,https://www.google.com/maps/search/?api=1&query=Lavender%20Nail%20%26%20Spa&query_place_id=ChIJwUCGRjGUj4ARbQ2u0ifCChY
Vogue Nails & Spa,"10005 W McDowell Rd Unit 102, Avondale, AZ 85392",Avondale,Arizona,(623) 478-1429,3.8,106,Nail salon,https://www.google.com/maps/search/?api=1&query=Vogue%20Nails%20%26%20Spa&query_place_id=ChIJqa_WBFo_K4cRVdZrgg9h2BA
Luckys Spa & Nails,"3970 W 24th St STE 110, Yuma, AZ 85364",Yuma,Arizona,(928) 782-9966,4.1,100,Nail salon,https://www.google.com/maps/search/?api=1&query=Luckys%20Spa%20%26%20Nails&query_place_id=ChIJORBAL9P31oARf3CVf8EIGnU
Paris Nails,"6433 Ming Ave, Bakersfield, CA 93309",Bakersfield,California,(661) 567-5718,4.7,98,Nail salon,https://www.google.com/maps/search/?api=1&query=Paris%20Nails&query_place_id=ChIJWZ2AUOFB6oARd40vdEvKSJ0
Yuma Nail & Spa,"2331 S Avenue B #102, Yuma, AZ 85364",Yuma,Arizona,(928) 783-6245,4.1,97,Nail salon,https://www.google.com/maps/search/?api=1&query=Yuma%20Nail%20%26%20Spa&query_place_id=ChIJ36AmGST21oARKozrwWwZbbI
Wynn Nails & Spa,"2860 N Fowler Ave suite 102, Fresno, CA 93727",Fresno,California,(559) 375-1179,4.1,96,Nail salon,https://www.google.com/maps/search/?api=1&query=Wynn%20Nails%20%26%20Spa&query_place_id=ChIJe9vMhn9ZlIAR7UTalyPPJgY
Team Nails (previously TT Nails & Spa),"2025 Pebble Creek Pkwy A09, Goodyear, AZ 85395",Goodyear,Arizona,(623) 535-5375,4.1,93,Nail salon,https://www.google.com/maps/search/?api=1&query=Team%20Nails%20(previously%20TT%20Nails%20%26%20Spa)&query_place_id=ChIJp37OhXg4K4cR85qAqae2_oA
Ultimate Nails,"11242 S Foothills Blvd #16, Yuma, AZ 85367",Yuma,Arizona,(928) 342-0098,3.8,91,Nail salon,https://www.google.com/maps/search/?api=1&query=Ultimate%20Nails&query_place_id=ChIJWeBClsFj1oARV0Io9vEsyEE
iNails & Spa,"511 Pine Ave, Long Beach, CA 90802",Long Beach,California,(562) 491-6116,4.7,85,Nail salon,https://www.google.com/maps/search/?api=1&query=iNails%20%26%20Spa&query_place_id=ChIJRRszSIox3YAR34j-GE_OTgU
1stop nails,"19509 N Sunrise Blvd #2, Surprise, AZ 85374",Surprise,Arizona,(623) 444-6417,4.4,80,Nail salon,https://www.google.com/maps/search/?api=1&query=1stop%20nails&query_place_id=ChIJZWkQ9MBaK4cRkOkXD2h6A44
Rise & Bloom Nails spa,"3929 S Chester Ave, Bakersfield, CA 93307",Bakersfield,California,(661) 751-0134,4.7,80,Nail salon,https://www.google.com/maps/search/?api=1&query=Rise%20%26%20Bloom%20Nails%20spa&query_place_id=ChIJUaXp92tr6oARrBMSTt6aifY
Lavender Nails & Spa,"5228 E Los Altos Plaza, Long Beach, CA 90815",Long Beach,California,(562) 494-4632,4.8,76,Nail salon,https://www.google.com/maps/search/?api=1&query=Lavender%20Nails%20%26%20Spa&query_place_id=ChIJ5zLj5ysw3YAR7m-pv0kvd5Y
Elegant Nail,"492 Antelope Blvd, Red Bluff, CA 96080",Red Bluff,California,(530) 527-2786,4.2,73,Nail salon,https://www.google.com/maps/search/?api=1&query=Elegant%20Nail&query_place_id=ChIJ-XjVMw6DgoARbdweWe-UCFE
Elegant Nails & Spa,"11320 Ming Ave #340, Bakersfield, CA 93311",Bakersfield,California,(661) 665-9888,4,73,Nail salon,https://www.google.com/maps/search/?api=1&query=Elegant%20Nails%20%26%20Spa&query_place_id=ChIJH-T8b1dB6oARz28UjWQfB3Q
Bright Nails & Spa,"310 N Dobson Rd #2, Mesa, AZ 85201",Mesa,Arizona,(480) 621-8912,4.9,70,Nail salon,https://www.google.com/maps/search/?api=1&query=Bright%20Nails%20%26%20Spa&query_place_id=ChIJF3mckUEJK4cRm0j4WiWQqdU
Woodminster Nails,"5036 Woodminster Ln, Oakland, CA 94602",Oakland,California,(510) 479-3694,4.4,70,Nail salon,https://www.google.com/maps/search/?api=1&query=Woodminster%20Nails&query_place_id=ChIJE4Os_8eHj4ARszL7mhZRQ9Y
Lynna Nails & Spa,"3407 Wilson Rd, Bakersfield, CA 93309",Bakersfield,California,(661) 831-3824,4.7,69,Nail salon,https://www.google.com/maps/search/?api=1&query=Lynna%20Nails%20%26%20Spa&query_place_id=ChIJEfMoXnlq6oAR8dB-VqebBvU
조아 네일샵 | Koreatown Joa Nail Salon,"3407 W 6th St UNIT 512, Los Angeles, CA 90020",Los Angeles,California,(213) 433-9501,4.4,62,Nail salon,https://www.google.com/maps/search/?api=1&query=%EC%A1%B0%EC%95%84%20%EB%84%A4%EC%9D%BC%EC%83%B5%20%7C%20Koreatown%20Joa%20Nail%20Salon&query_place_id=ChIJc7B-d7vHwoARY8Q-Jtjx9lc
Plush Nails Spa,"1791 Church St, San Francisco, CA 94131",San Francisco,California,(415) 821-1704,4.7,62,Nail salon,https://www.google.com/maps/search/?api=1&query=Plush%20Nails%20Spa&query_place_id=ChIJNfS_HK9_j4AR-Lm43B0UCcg
Zenbi Nails,"2032 Chestnut St, San Francisco, CA 94123",San Francisco,California,(415) 447-8942,4.7,61,Nail salon,https://www.google.com/maps/search/?api=1&query=Zenbi%20Nails&query_place_id=ChIJp1w-OdeAhYARgh0haYugPFA
A T Beauty Spa,"2726 24th St, San Francisco, CA 94110",San Francisco,California,(415) 648-6389,4.1,61,Nail salon,https://www.google.com/maps/search/?api=1&query=A%20T%20Beauty%20Spa&query_place_id=ChIJGTrq4Ut-j4ARXs_k0gHdCsE
Milano Nail Spa,"1403 Allen Rd #500, Bakersfield, CA 93314",Bakersfield,California,(661) 679-7507,4.4,61,Nail salon,https://www.google.com/maps/search/?api=1&query=Milano%20Nail%20Spa&query_place_id=ChIJzwTSMN1F6oAR1DRWZ0mkYxw
Galaxy Nail Salon,"6210 Claremont Ave, Oakland, CA 94618",Oakland,California,(510) 428-1061,4,60,Nail salon,https://www.google.com/maps/search/?api=1&query=Galaxy%20Nail%20Salon&query_place_id=ChIJR5VNHcV9hYARsvJnLzuOT6s
Nail Atelier,"310 N Western Ave, Los Angeles, CA 90004",Los Angeles,California,(323) 463-9123,4.7,57,Nail salon,https://www.google.com/maps/search/?api=1&query=Nail%20Atelier&query_place_id=ChIJM-QDb6O4woARgzQ39KuFPDM
Love Nails,"4170 Piedmont Ave, Oakland, CA 94611",Oakland,California,(510) 596-8997,4.6,56,Nail salon,https://www.google.com/maps/search/?api=1&query=Love%20Nails&query_place_id=ChIJWyTQHfd9hYAR9sj4T5o86Mw
Peace NAILS,"4208 Rosedale Hwy Unit 303, Bakersfield, CA 93308",Bakersfield,California,(661) 374-8901,4.7,54,Nail salon,https://www.google.com/maps/search/?api=1&query=Peace%20NAILS&query_place_id=ChIJ3yeTMwfuPIsRWrD3q9MICv0
Nail Story,"2917 W Olympic Blvd, Los Angeles, CA 90006",Los Angeles,California,(213) 739-0703,4.3,51,Nail salon,https://www.google.com/maps/search/?api=1&query=Nail%20Story&query_place_id=ChIJZ7QvaoDHwoARLcuEp2dDtcY
CORNER JOY NAILS SPA,"1818 Palo Verde Ave Ste B & C, Long Beach, CA 90815",Long Beach,California,(562) 588-9167,4.5,51,Nail salon,https://www.google.com/maps/search/?api=1&query=CORNER%20JOY%20NAILS%20SPA&query_place_id=ChIJva90RiEu3YAR-EP2-MYTpNI
Noe Valley Nails,"1699 Dolores St, San Francisco, CA 94110",San Francisco,California,(415) 920-8923,4.4,50,Nail salon,https://www.google.com/maps/search/?api=1&query=Noe%20Valley%20Nails&query_place_id=ChIJp21oymt-j4ARFK43bwiFom4
Bella Nails,"1942 N Lakewood Blvd, Long Beach, CA 90815",Long Beach,California,(562) 597-2977,4.8,46,Nail salon,https://www.google.com/maps/search/?api=1&query=Bella%20Nails&query_place_id=ChIJXd_1cZEx3YAREILmk9G2TVw
VN NAIL SPA,"Eureka, CA 95503",Eureka,California,(707) 640-1848,4.6,45,Beauty salon,https://www.google.com/maps/search/?api=1&query=VN%20NAIL%20SPA&query_place_id=ChIJD00EDff_01QRH5hlg0EqD-E
Queen's Nail,"404 E 3rd St, Long Beach, CA 90802",Long Beach,California,(562) 491-0738,4.6,45,Nail salon,https://www.google.com/maps/search/?api=1&query=Queen's%20Nail&query_place_id=ChIJ_arhA-Yx3YAR9KNWCx8Eg58
Dina Nail & Spa,"2750 E Broadway, Long Beach, CA 90803",Long Beach,California,(562) 987-1673,4.4,42,Nail salon,https://www.google.com/maps/search/?api=1&query=Dina%20Nail%20%26%20Spa&query_place_id=ChIJkTqtEt8x3YARUyxEmiU5EBc
Angel Nails Salon,"3170 Mission St, San Francisco, CA 94110",San Francisco,California,(415) 643-5323,3.8,39,Nail salon,https://www.google.com/maps/search/?api=1&query=Angel%20Nails%20Salon&query_place_id=ChIJkxfkmUN-j4AR6q49xVHY3Mc
Arizona Excellent Nails,"7303 E Main St UNIT 113, Mesa, AZ 85207",Mesa,Arizona,(602) 702-1164,4.6,38,Nail salon,https://www.google.com/maps/search/?api=1&query=Arizona%20Excellent%20Nails&query_place_id=ChIJdeL6ZBKlK4cRyBRx1gF40mQ
Tiffany's Salon,"932 I St, Los Banos, CA 93635",Los Banos,California,(209) 829-1868,4.9,37,Nail salon,https://www.google.com/maps/search/?api=1&query=Tiffany's%20Salon&query_place_id=ChIJ-7PhiuR-kYARrM9bjEYNxhM
Granite Valley Hair & Nail Salon,"14755 W R H Johnson Blvd # 110, Sun City West, AZ 85375",Sun City West,Arizona,(623) 975-4485,4.8,29,Nail salon,https://www.google.com/maps/search/?api=1&query=Granite%20Valley%20Hair%20%26%20Nail%20Salon&query_place_id=ChIJT1CUGR1bK4cRfsynphx-lFY
Salon Chateau,"2625 S Woodlands Village Blvd #250, Flagstaff, AZ 86001",Flagstaff,Arizona,(928) 556-9600,4.7,29,Beauty salon,https://www.google.com/maps/search/?api=1&query=Salon%20Chateau&query_place_id=ChIJ4S8T1X-FLYcR-qazXt5hFBw
Nail Galleria,,,,(928) 526-5883,2.9,28,Nail salon,https://www.google.com/maps/search/?api=1&query=Nail%20Galleria&query_place_id=ChIJx6E3O4ePLYcRGbzTzUPcEW4
Lush Salon llc,"2724 E Lakin Dr #5a, Flagstaff, AZ 86004",Flagstaff,Arizona,(928) 853-8913,4.8,21,Beauty salon,https://www.google.com/maps/search/?api=1&query=Lush%20Salon%20llc&query_place_id=ChIJ7cSlrNqOLYcRCGuXe5ZixEw
Red Rum Mobile Salon | Mobile Hair Services,,,,(702) 640-9705,4.8,20,Hairdresser,https://www.google.com/maps/search/?api=1&query=Red%20Rum%20Mobile%20Salon%20%7C%20Mobile%20Hair%20Services&query_place_id=ChIJZ1jt7FjPyIAR80tXXDeAj9c
Lian Nails,"2890 Mission St, San Francisco, CA 94110",San Francisco,California,(415) 648-5826,2.8,20,Nail salon,https://www.google.com/maps/search/?api=1&query=Lian%20Nails&query_place_id=ChIJ10HtKkF-j4ARLTXIEStK7Ys
Lava Nail Spa,"2950 E Anaheim St, Long Beach, CA 90804",Long Beach,California,(562) 434-5679,4.4,19,Beauty salon,https://www.google.com/maps/search/?api=1&query=Lava%20Nail%20Spa&query_place_id=ChIJ5azxREAx3YAR1x11XTkmZdU
Hollywood Beauty Salon,"2863 Mission St, San Francisco, CA 94110",San Francisco,California,(415) 756-5272,3.9,15,Beauty salon,https://www.google.com/maps/search/?api=1&query=Hollywood%20Beauty%20Salon&query_place_id=ChIJnzKjK0d-j4ARSiZAoI-6j5M
Healthy Nails,"3187 Mission St, San Francisco, CA 94110",San Francisco,California,(415) 658-7536,3.5,11,Nail salon,https://www.google.com/maps/search/?api=1&query=Healthy%20Nails&query_place_id=ChIJfyg4E-x_j4ARDT4p4YoDy-I
Nail Boutique & Beauty Salon,"2724 E Lakin Dr STE 3, Flagstaff, AZ 86004",Flagstaff,Arizona,(928) 526-3002,4.6,10,Nail salon,https://www.google.com/maps/search/?api=1&query=Nail%20Boutique%20%26%20Beauty%20Salon&query_place_id=ChIJ9XBRrNqOLYcRpwhsU_YO6hA
Dip Nails and Salon,"1045 N Verrado Way Suite 109, Buckeye, AZ 85326",Buckeye,Arizona,,3.6,7,Nail salon,https://www.google.com/maps/search/?api=1&query=Dip%20Nails%20and%20Salon&query_place_id=ChIJ2QuZKgBJK4cRjRMgmx8OvCk
Perfect 101 Nails & Spa,"14960 W Indian School Rd, Goodyear, AZ 85395",Goodyear,Arizona,(623) 535-9943,5,4,Beauty salon,https://www.google.com/maps/search/?api=1&query=Perfect%20101%20Nails%20%26%20Spa&query_place_id=ChIJHbd3T8BHK4cRbCRjKTkoKJ0
NCINTIV Hair Salon,"4969 W Adams Blvd, Los Angeles, CA 90016",Los Angeles,California,(323) 795-0072,4.8,4,Hair salon,https://www.google.com/maps/search/?api=1&query=NCINTIV%20Hair%20Salon&query_place_id=ChIJnwD5Kni5woARHKF3UL0soCc
